# file...... feeder_power.csv
# date...... Tue Jan 24 15:06:23 2017
# user...... D3P313
# host...... (null)
# target.... transformer 29
# trigger... (none)
# interval.. 60
# limit..... 9600
# timestamp,power_in.real,power_in.imag
2000-09-01 00:00:00 PDT,+3.74717e+006,+420941
2000-09-01 00:01:00 PDT,+3.71327e+006,+419185
2000-09-01 00:02:00 PDT,+3.6647e+006,+423029
2000-09-01 00:03:00 PDT,+3.50791e+006,+339646
2000-09-01 00:04:00 PDT,+3.32297e+006,+239551
2000-09-01 00:05:00 PDT,+3.17755e+006,+165169
2000-09-01 00:06:00 PDT,+3.05074e+006,+107600
2000-09-01 00:07:00 PDT,+2.93342e+006,+52123.3
2000-09-01 00:08:00 PDT,+2.85126e+006,+15756.1
2000-09-01 00:09:00 PDT,+2.77057e+006,-16461
2000-09-01 00:10:00 PDT,+2.71452e+006,-39768.1
2000-09-01 00:11:00 PDT,+2.66531e+006,-61704.5
2000-09-01 00:12:00 PDT,+2.64427e+006,-84171.3
2000-09-01 00:13:00 PDT,+2.6433e+006,-87422.6
2000-09-01 00:14:00 PDT,+2.66666e+006,-88668.9
2000-09-01 00:15:00 PDT,+2.63063e+006,-102780
2000-09-01 00:16:00 PDT,+2.64955e+006,-101318
2000-09-01 00:17:00 PDT,+2.62192e+006,-112119
2000-09-01 00:18:00 PDT,+2.62213e+006,-111847
2000-09-01 00:19:00 PDT,+2.6058e+006,-114399
2000-09-01 00:20:00 PDT,+2.63114e+006,-109038
2000-09-01 00:21:00 PDT,+2.6377e+006,-102967
2000-09-01 00:22:00 PDT,+2.611e+006,-112514
2000-09-01 00:23:00 PDT,+2.60707e+006,-120503
2000-09-01 00:24:00 PDT,+2.5954e+006,-130266
2000-09-01 00:25:00 PDT,+2.56213e+006,-146964
2000-09-01 00:26:00 PDT,+2.57007e+006,-146129
2000-09-01 00:27:00 PDT,+2.5595e+006,-139947
2000-09-01 00:28:00 PDT,+2.55677e+006,-147457
2000-09-01 00:29:00 PDT,+2.57649e+006,-141690
2000-09-01 00:30:00 PDT,+2.60106e+006,-141095
2000-09-01 00:31:00 PDT,+2.56064e+006,-156118
2000-09-01 00:32:00 PDT,+2.56423e+006,-162127
2000-09-01 00:33:00 PDT,+2.56709e+006,-165246
2000-09-01 00:34:00 PDT,+2.54493e+006,-179819
